Title,Theme,Type,Media,Attribution,Tags,URL,Description,Image Rights,Unnamed: 9
Communion cup,belief,silverware,Belief 1_Communion Cup,"London, V&A Museum",Belief; worshipping; displays of piety; devotion; gesture; performance; Protestantism; decoration; Quality of Workmanship; silverware; church; food/drink,http://collections.vam.ac.uk/item/O118310/communion-cup-unknown/,"1568-69. Chalices were replaced after the reformation with these communion cups which signified the change in belief towards transubstantiation and communion. Middling individuals would sometimes act as churchwardens, making them responsible for church goods such as this, but would also encounter these items in their parish churches. 

",The object is on loan so needs an image license ,
"Shrine to Margaret Clitherow, York",belief,House,Belief 2_Clitherow House,,house; devotion; worshipping; self-fashioning; marriage; home; morality; death,"britainexpress.com/attractions.htm?attraction=5061#:~:text=A%20small%20medieval%20building%20on,refusing%20to%20abjure%20her%20faith.","This house is situated opposite Margaret's own home. Margaret Clitherow's hand is a catholic relic, after she was pressed to death and became a martyr. Her father was a wax chandler and acted as sheriff of York and she married a wealthy butcher who was also city chamberlain. She hid priests in her home and even sent her son to Europe to train as a priest. An example of how an upper middling family could still maintain the outward appearance of conformity required to achieve office but also maintain their Catholic faith.  ",,
Bell,belief,Instrument,Belief 3_Bell,Weald and Downland Museum,listening; casting; worshipping; devotion; Ipswich; church,https://www.wealddown.co.uk/buildings/bell-frame-from-stoughton/,"This bell is from St Helen's parish church in Ipswich and is dated to 1621. It was cast by Miles Graye I of Colchester, whose name is inscribed in the band around the top. Graye was part of a line of bell-founders based in the Essex town at a foundry on head street, but they made bells for both the local area (principally Essex, Sussex, Suffolk, and Cambridgeshire) and for churches as far away as Newcastle. Bells were a significant part of the early modern soundscape and middling individuals would have important moments in their lives marked by their ringing at burials, marriages, and at festivals like Easter and Christmas. The sound would also mark the passing of time when very few people owned clocks. A surviving bell contract for a Salisbury founder, William Purdue, for St Thomas' church, demonstrates the care that some parishes took in making sure their bells were tuned to other churches in the locale asking that the set should be: 'found perfect & exactly tunable according to musicke within a quarter of a note as bigge or deep as the ringe of bells of St Edmonds parish [and that they] may be runge in compasse in peale runninge down sixe well tuned & musicall notes'. St Edmond's church also had bells made by another member of the Purdue family, so the decision by the neighbouring parish to have similar bells cast by a member of the same foundry was likely to have been deliberate, in order to generate a pleasant environment for residents. The dangers of too many bells being rung at once in a small geographical area are clear from a note in the Churchwardens' accounts of Christ Church, Bristol, where a memorandum declares that 'from hence forwards there shalbe no excessive ringinge but that which is necessarie & convenient', by which they mean festival days only. Middling men and women often donated money for the maintenance and casting of parish bells, with their contributions recorded in churchwardens' accounts and occassionally inscribed upon the bells themselves. Bells connect middling makers like the Grayes and Purdues to the parish church, middling communities, and charity, making them an exciting object through which  the middling can be seen as makers, benefactors, and listeners.",,
Prayer Book,Belief,Book,Belief 4_Prayer Book,"London, V&A Museum",displays of piety; prayer; devotion; reading; self-fashioning; home; print; virtue,http://collections.vam.ac.uk/item/O132891/book-cover-illingworth-elizabeth/,Jonah and the Whale and the Sacrifice of Issac are represented in this embroidered cover of the book of common prayer dated to 1613. It has been worked by a woman called Elizabeth Illingworth and is representative of the skill level that domestic embroiderers would have achieved. Women's protestant identity.,,
Hornbook with the Lord's Prayer,belief,Book,Belief 5_Hornbook,Folger STC 21.7,Education; reading; writing; learning; prayer; displays of piety; protestantism; joining/carv,https://shakespeareandbeyond.folger.edu/2019/09/03/ben-jonson-school-elizabethan-education/,"Hornbooks were hand held devices used to teach children how to read. They were usually made out of wood with a handle at the bottom and a piece of paper or parchment printed with the alphabet, creed, and Lord's Prayer stuck on the front and laminated with horn. A child would be able to hold the hornbook whilst moving around, and this would be the first stage in learning to read and in how to become a good Christian. Education at home and at school was entwined with the Anglican church and middling children attending free schools, grammar schools and learning at home, would learn their letters whilst making their way through texts like primers, catechisms and the Bible. Not only was a child exposed to Christian doctrine through their education in reading, but also through a wider scheme of domestic and church devotional activities like praying, listening to sermons, enountering narrative wall-paintings, and through the instillation of gendered moral values. A hornbook would have been used by a young student at the early stages of their education, and its portability and durability made it an object to be played with, rather than one to be engaged with whilst sat at a desk. (See e.g. Andrew Cambers)",,
Pulpit Cushion,Belief,Textiles,Belief 6_Pulpit Cushion,"London, V&A Museum",cushion; worshipping; displays of piety; Protestantism; church; textiles,http://collections.vam.ac.uk/item/O129343/orphrey-cushion-unknown/,"Cushions were a key decorative textile in early modern churches. After the Reformation, vestments no longer suitable for wearing by the clergy were recycled into other items, like this V&A museum pulpit cushion. The cushion was part of a private chapel for William de Clinton, 1st Earl of Huntington, but this had parallels with the parish churches middling men and women enountered. For example, St Thomas' Church in Salisbury had cushions fashioned out of copes and these were recorded in a 1608 inventory as 'III cushions of copes wrought with gold' (f.9r.). Both this V&A example and the Salisbury one make use of metallic threads in their decoration. [WHO IS THE FIGURE ON THE CUSHION?]. The middling participated in the crafting and giving of parish church cushions. James Wathen, Pinmaker of Bristol gave 'one dozen or more of new cushions' to St Mary Redcliffe church in Bristol during one of the years he was churchwarden. ",,
Double Deliverance,Belief,Print,Belief 7_double deliverance,"London, British Museum",Worshipping; displays of piety; propaganda; polemics; print; home,https://research.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=1451076&page=311&partId=1&subject=16602,In need of explanation,,
Casebooks,Belief,Manuscript,Belief 8_Simon Foreman,"Lauren Kassell, Michael Hawkins, Robert Ralley, John Young, Joanne Edge, Janet Yvonne Martin-Portugues, and Natalie Kaoukji (eds.), ‘CASE37896’, The casebooks of Simon Forman and Richard Napier, 1596–1634: a digital edition, https://casebooks.lib.cam.ac.uk/cases/CASE37896, accessed 19 March 2021",Devotion; belief; medicine; physic; health; writing; manuscript; ,•https://casebooks.lib.cam.ac.uk/cases/CASE37896,"Simon Foreman (1552-1611) was a middling man who became a physican and astrologer, and was orginally from Salisbury. After an education at Grammar School he became an apprentice hosier and grocer and kept up his studies in after hours. Later, he attended Oxford University, whilst also working as a servant. He then taught at various schools, worked as a carpenter, studied astronomy and even spent time in prison (for possessing magic books). Forman is, however, remembered for his life as a physician because he kept notebooks known as 'casebooks' which detailed his patients, their ailments and their treatments. Forman held some quite unorthodox beliefs and he practised necromancy, pursued the philosopher's stone, and tried to communicate with angels. Despite this, he built a good reputation as a physician.

His casebooks detail his beliefs in action. For example, many patients complain of being 'bewitched', with issues such as lightheadedness, aches and injuries attributed to witchcraft. Forman records a Lettice Ball, who in 1603 was 17 years old, and  'asks whether any evil tongue have power over her', because she 'cannot sleep'<https://casebooks.wordpress.com/selected-cases-in-full/witchcraft/>. Forman also records the advice of angels in his book. For example, he treats Thomas Tarry a 50 year old joiner with a mixture of herbs and records the angel Michael saying 'he will by god's grace mend' <https://casebooks.wordpress.com/selected-cases-in-full/angels/>. Forman's medicinal practices, then, were informed by his spiritual practices and beliefs. 
",,
Ledbury Wall Paintings,Belief,Painting,Belief 9_Ledbury,Tara's Image,Displays of piety; narrative; wall painting; civic; Ledbury; morality,,"Tara's image of Ledbury wall paintings. At what was the 'Booth Hall' and residence of the town constable. Middling town inhabitants would have encountered the space when they came to testify at court or as part of the town's council. The wall painting includes Biblical commonplaces.
",,
Alcester Benefaction Board,Charity,Painting,Charity 1_Alcester benefaction board,Ruth Bubb Images,Alcester; benefaction board; joining/carving; painting; worshipping; displays of piety; prayer; devotion; charity; Memorial; remembrance,,"Benefaction boards are large, framed features in parish churches, which list the names of those who have performed exceptional acts of charity in their parishes. An individual would usually be listed if they gave lots of money or land in their will to their parish, or set up a free school, hospital, almshouse or workhouse. These boards were, then, set up in churches to record and memorialise key benefactors and notable acts of charity within the local community. The Alcester benefaction board is unusual in form and content – it is a triptych made up of a central panel, with two doors that open to reveal imagery inside. When closed the exterior displays painted inscriptions. When open four pictorial scenes showing charitable giving with relevant biblical texts are displayed, framing what would originally have been two parchments recording specific benefactions. Charity was an important aspect of daily life for those of middling status, who came into contact with boards like this one, which encouraged them to follow the example of their charitable peers, and pity the poor. Support for those less fortunate took a variety of forms, from institutions like hospitals, to the giving of money food and clothing, and to adopting children or offering them positions of service or apprenticeships. Middling sorts of individuals were key to the administering of charity within the parish, as wealthier men would usually take on positions like churchwarden, or overseer of the poor.

There are many examples within parish accounts of benefaction boards being purchased for display within churches. For example, an inventory for St Thomas’ Church in Salisbury for 1608 shows that there were ‘VII tables hanging about the churche’ some of which were likely to have held the names of benefactors (Wiltshire and Swindon Archives, 1900/92). In 1616, St Mary at the Tower church in Ipswich had ‘one timber table and one parchment table’ installed to record their benefactors (Suffolk Record Office, Ipswich Branch, FB1/E/1, 9r). The parchment table may have appeared like the one inside the Alcester Benefaction board, and could have been easily added to or replaced over time. 
Benefaction boards would also fill a void left by the Reformation, as saints were no longer worshipped, important parishioners could be recognised within church spaces instead. The Alcester Benefaction board therefore has three primary functions: to celebrate the charitable giving of parishioners, to encourage further giving, and to illustrate the impact of benefaction on the community with the four images. The top left-hand corner shows three tradesmen, a tailor, a carpenter and a butcher, giving to a collection for the poor. These three men are archetypes of middling tradesmen, who are asked in the extract from Psalm 41.1 to ‘consider the poor and needy’. The bottom left-hand image follows the common iconography of the poor because it depicts a blind man and a physically disabled man being given alms. These alms are in the form of clothing, food and drink, which were very common items given in charity. The third image is of a grammar school, probably Newport’s free school in Alcester, which was established in 1592 after the benefaction of Walter Newport of £400, for the teaching of ‘poor mens children’ (Cyril Johnston, Alcester’s Grammar School: the First Five Hundred Years (2012), p.10). Education was a means through which poor boys could be lifted out of poverty and gain the skills they needed to succeed as adults. The boys in this image are learning to read and write. The final image is of three women visiting prisoners to deliver bread. During the sixteenth and seventeenth centuries, prisoners were required to pay for their own lodgings and sustenance, and so those who were already poor, in debt, or without familial support, would suffer without charitable support. Middling women are rarely depicted and their charitable acts are not as frequently celebrated as men’s, so this is a great example of the responsibility women also showed towards the poor. 
 
 This board was used long past its 1632 installation, as shown by the date on the front of the board of 1683. While no records relating to this board survive, other churchwardens accounts suggest how benefaction boards were updated. For example, St Mary Redcliffe, Bristol, 1641 churchwarden accounts record a payment to ‘Morgan the painter’ for ‘the new table and for writinge in Mr Harringtons guifte in the old’. Such maintenance likely explains the overpainting of this board in the 1680s, when the parchments were updated (Bristol Archives, P.St MR/ChW/1/d, p.186). As such, churchwardens seem to be keen to renew benefaction boards to make them relevant to their parishioners and to continue encouraging them to give. 


",Should be fine when cleared with Ruth and church,
 Wall Paining Watercolour,Charity,Painting,Charity 3_Wall Painting,V&A,Kent; wall painting; charity; sociability; self-fashioning; paint; home; morality; virtue,http://collections.vam.ac.uk/item/O735906/watercolour-drawing-hardie-martin/,"This watercolour drawing made in 1936 records the remains of wall paintings from c.1600 in a farmhouse in Kent. The texts painted within a frieze are a versified version of Proverbs 21.13 – also cited in Thomas Trevelyon’s manuscript:

For hee that will not heare ye crye
Of them that stande in neede
Shall crye him selfe and not be hard
When he doth hope to spede.
 
This kind of wall decoration was common in the houses of the middling sort in the later sixteenth and early seventeenth centuries. While texts from Proverbs were often utilised, the great variety of specific passages in surviving examples shows the choices made by individual householders. Rhyming couplets were memorable means through which moral messages could be spread. On display in the social spaces of the house, these texts expressed piety and moral authority on the part of the householder while instructing family members and guests.

","Needs image license as they count images for exhibitions as 'commercial' rather than non-commercial use. See: https://www.vam.ac.uk/info/va-websites-terms-conditions#:~:text=The%20amount%20of%20V%26A%20Content,Victoria%20and%20Albert%20Museum%2C%20London.",
Ballad,Charity,Print,Charity 4_Ballad and Charity 4_ballad2,Chris Pickvance,print; ballad; charity; sociability; listening; decoration; narrative; home; morality,None - private collection,"This woodcut illustration is part of a printed broadside ballad, a text set to a popular tune. It depicts the allegorical personification of Charity as a woman with three infants, with two men begging on either side; one with a wooden leg holding out a hand (left) and one on the right holding out his hat.
This image of Charity personified as a woman with infants would have been very familiar and easily recognised in the period; charity is depicted in the same allegorical manner in Trevelyon’s miscellany and is also included within interior decoration of the period. Charity is one of the three theological virtues (Faith, Hope and Charity) and was often interpreted as Christian Love expressed through generosity to fellow man.
",Would be good to get a good image from Chris,
Trevelyon Miscellany,Charity,Manuscript,Charity 2_Trevelyon Miscellany,"Folger Shakespeare Library, V.b.232",Narrative; manuscript; charity; gesture; quality of workmanship; civic; morality; virtue,https://luna.folger.edu/luna/servlet/s/v81bec,"This is a page from the second of three great illustrated manuscripts created by Thomas Trevelyon between 1603 and 1616. These manuscripts depict a wide range of subjects, many derived from printed broadsides but adapted to contain an illustration and an associated inscription. This page is titled ‘Poore’ and shows a wealthy man gesturing to a poor man with his hand outstretched to request alms. The text underneath lists various relevant biblical passages including: ‘He that stoppeth his ear at the crying of the poore, he shall also crie and not be heard Proverb 21.13’. Trevelyon’s text here echoes common exhortations in sermons for Christians to show mercy in relieving the neediest and poor. Such biblical injunctions were also painted on the walls of churches and domestic houses in this period to both prompt and celebrate acts of charity.
",Project partner and already digitised ,
Ballad,Charity,Print,Charity 5_Remember the Poor,"British Library, Thomason 669, fol.21",Ballad; print; virtue; charity; remembrance; virtue; civic; decoration; reading; narrative; community,EEBO ,"This 1658 instructional broadsheet is, like the ballad, a single sheet. It combines biblical verses on charity with images representing those in need including a blind man and a maimed soldier. Charity is personified maternally with three children. It has an imperative tone asking the reader to ‘bestow one penny for the Lords Sake’. The intended use is clear, with the buyer told to ‘place it over the poor’s boxe, in your church or house, shop or inne’. It is, then, a sheet made for broad consumption, to be placed in spaces encountered by parishioners like churches or inns. Middling sorts, who had surplus income which could be given in charity, were the primary audience of sheets like this. They tended to be literate enough to read and would have been familiar with the kinds of images presented here. Charity could lead to a favourable reputation among peers and was thought to increase a person’s likelihood to achieve salvation, and this sheet draws upon this preoccupation.",Will need to ask British Library for image,
Poor Box,Charity,Furniture,Charity 6_Poor Box,"St Mary's Bramford, Ipswich",Box; joining/carving; charity; quality of workmanship; community; reading; church; Ipswich; quality of workmanship; Protestantism; ,,"This sixteenth-century poor box is a rare survival of an object that would have been present in almost every parish church. St Mary’s Bramford, on the outskirts of Ipswich, is its home, at the top of the nave. The column to which the box is fixed is inscribed and painted with: “Remember the pore the scripture doth record what to them is geven is lent unto the lorde 1591”. This reminds the viewer that charitable actions in life would be important to achieving salvation. He box has a lock at the top to keep donations secure. These boxes encouraged wealthier members of a parish with loose change to give to the church. Churchwardens, who were often middling tradesmen, controlled funds from the poor box. This object represents the practice of short term, small benefactions to a parish, and the jurisdiction middling officeholders held over the distribution of poor relief at local level. 

[EXTENDED INFO]

Poor boxes were introduced in the mid-sixteenth century, during the reign of Edward I to encourage giving and, in Elizabeth’s reign, it was suggested that parishes should have:
a strong chest with a hole in the upper part thereof […] having three keys, whereof one shall remain in the custody of the parson, vicar, or curate, and the other two in the custody of the churchwardens, or any other two honest men […] which chest you shall set and fasten in a most convenient place, to the intent the parishioners should put into their oblations and alms for their poor neighbours. (https://history.hanover.edu/texts/engref/er78.html, XXV)
Churchwardens accounts of the period, testify to the existence of poor boxes throughout the late sixteenth and early seventeenth centuries. For example, in Bristol, the churchwarden accounts of St Mary Redcliffe church for 1591 record payments to painter George Cowper (made a freeman of the city in 1566) ‘for painting the frame over the poores chest and for painting the chest’, to joiner William Keifte alias Beny for making the frame, and to a blacksmith for ‘a locke and three keayes for the poores cheste’ (Bristol Archives, P.St.MR/ChW/b, pp.242 and 244). The ‘three keys’ are in line with the Elizabethan injunctions, to be held by the ‘parson, vicar, or curate’ and the two churchwardens, who in Mary Redcliffe parish in 1591 were John Halliday and William Beny. Beny was also the tradesman who built the frame for the poor box, so was involved with the administration and making of this church object. Middling men like Halliday and Beny were, then, trusted to oversee the administration of church funds through given in the box and had clear responsibility over those less fortunate within their parish. 
An example of the poor box in use can be seen in the vestry minutes of St Thomas’ Church, Salisbury, in 1637. Here the churchwardens are described as working with the overseers of the poor in order to provide for the ‘sicke and necessitous poore of this parish’ from the box’s funds. The poor box ‘shall be opened in the presence of the minister and churchwardens and some of the aldermen of this parish’ – men trusted to manage the money given responsibly.  The donations given to the box would be very important in the managing of the poor within a parish, and represents a particularly middling way of giving small quantities of money to contribute to a collective effort. Middling sorts without large amounts of disposable income could still give to the box, and those at the bottom of this group might be acutely aware of the fact that they too may rely on the charity of their parish peers if they fell ill and were no longer able to work. 
Poor boxes were often inscribed with messages encouraging the importance of giving to charity. For example, a box 1634 at Ash Priors, Somerset has a brass plaque with the phrase ‘REMEMBER THE POORE’, and a 1639 box in Walpole St Peter in Norfolk has an identical inscription in oak. The messages on these boxes would work in conversation with benefaction boards within the parish church, which celebrated the most generous donors, to persuade those fortunate enough to have disposable income in the congregation to give. Often, these messages would be enhanced through sermons where the preacher would remind their parishioners of the importance of charity. The Elizabethan injunctions of 1559 also encouraged this, stating that the ‘parson, vicar, and curate’ had a duty to tell their parishioners that ‘to relieve the poor is a true worshipping of God’, and that it was a means of preparing for salvation.  
These objects did not only appear in parish churches, but also in other public buildings including town halls, hospitals and guilds. As such, these would have been very familiar objects to middling parishioners, who would have been reminded of their duty to help those less fortunate whilst negotiating their locale. 

",Can visit an take own image or get rights from Red Box Archive,
Bread Shelves,Charity,Furniture,Charity 7_bread shelves,"St Mary's Woodbridge, Suffolk",shelves; charity; Ipswich; food/drink; church; memorials; remembrance; ,"<https://commons.wikimedia.org/wiki/File:St_Mary,_Woodbridge_-_benefactions_board_-_geograph.org.uk_-_2025125.jpg> ","This bread cupboard represents the giving of subsistence to the parish poor and is fixed to the wall of the church porch at St Mary’s, Woodbridge, Suffolk. It also acts as a memorial to John Sayer, yeoman, who bequeathed lands to the parish in his will in order to provide bread and clothing to the poor every Sunday ‘for ever’. His bequest still generates money for the poor today. This represents longer term benefaction and the importance of food as alms for the poor in this period. Sayer gives a lot of land in his will, and writes that his bequest should be delivered in the chancel of the church. Inscriptions like this celebrate the benefaction of individuals, holding them up as an example to others in the parish. Many churches would have had bread shelves, with St. Mary’s church in Fordwich Kent, displaying bread shelves above the West door. St Thomas’ church Salisbury’s inventory of 1608 records two tables ‘to put the bread upon for the poor people’. Bread shelves demonstrate the practical means through which parish churches distributed food to the poor.
",Wikipedia Commons,
Lectern,Charity,Furniture,Charity 8_St Mary Redcliffe,"St Mary Redcliffe, Bristol",lectern; brass; Bristol; listening; reading; quality of workmanship; performance; self-fashioning; charity; remembrance; ,,"James Wathen gave this brass lectern to St Mary Redcliffe parish complete with the inscription: ‘This is the free gifte of James Wathen senior of this parish pinn maker. Anno Dmni 1638’. Wathen was involved in the administration of the parish, fist becoming churchwarden in 1638, the year of the lectern, so he may have given this gift to memorialise his contribution. It is also a representation of his wider charitable acts: he employs poor boys of the parish in pinmaking, and bequeaths twenty dozen (120) loaves of bread to the poor in his will. This lectern is described as a ‘free gift’ which is an important echo of sermons about charity like Robert Allen’s The Oderifferous Garden of Charitie, where he writes that a gift must ‘be free and proceede of a liberall and franke mind’ (p.15) so that the giver does not expect anything in return. However, Wathen would have increased his profile in the parish with such an ostentatious and expensive gift, which would have been visible to his peers at Bible readings in the church.
",Can visit and take our own good photos,
